0: main.py:141: SyntaxWarning: "is" with a literal. Did you mean "=="?
0:   if args.save is '':
0: main.py:164: SyntaxWarning: "is not" with a literal. Did you mean "!="?
0:   resume=args.resume is not '',
0: main.py:186: SyntaxWarning: "is not" with a literal. Did you mean "!="?
0:   if args.model_config is not '':
0: saving to ./results/resnet18-test
0: creating model resnet
0: created model with configuration: {'dataset': 'cifar10', 'depth': 18}
0: number of parameters: 175258
0: /scratch/mg6827/envs_dirs/idl/lib/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
0:   warnings.warn(_create_warning_msg(
0: optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x1530ef549b80>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x1530ef549c10>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
0: data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 1, 'autoaugment': False, 'cutout': None}
0:  Regime:None
0: 
0: Starting Epoch: 1
0: 
0: Files already downloaded and verified
0: Files already downloaded and verified
0: TRAINING - Epoch: [0][0/781]	Time 1.560 (1.560)	Data 1.450 (1.450)	Loss 2.3020 (2.3020)	Prec@1 3.125 (3.125)	Prec@5 53.125 (53.125)	
0: TRAINING - Epoch: [0][10/781]	Time 0.007 (0.150)	Data 0.000 (0.132)	Loss 2.2392 (2.2925)	Prec@1 17.188 (9.233)	Prec@5 57.812 (55.540)	
0: TRAINING - Epoch: [0][20/781]	Time 0.007 (0.083)	Data 0.000 (0.069)	Loss 2.1132 (2.2319)	Prec@1 17.188 (14.360)	Prec@5 62.500 (60.565)	
0: TRAINING - Epoch: [0][30/781]	Time 0.007 (0.058)	Data 0.000 (0.047)	Loss 2.0568 (2.1854)	Prec@1 29.688 (16.935)	Prec@5 79.688 (65.877)	
0: TRAINING - Epoch: [0][40/781]	Time 0.006 (0.047)	Data 0.000 (0.035)	Loss 2.0229 (2.1599)	Prec@1 21.875 (18.521)	Prec@5 76.562 (68.559)	
0: TRAINING - Epoch: [0][50/781]	Time 0.007 (0.039)	Data 0.000 (0.029)	Loss 2.0963 (2.1332)	Prec@1 20.312 (19.332)	Prec@5 67.188 (70.404)	
0: TRAINING - Epoch: [0][60/781]	Time 0.006 (0.034)	Data 0.000 (0.024)	Loss 1.9368 (2.1194)	Prec@1 26.562 (19.903)	Prec@5 79.688 (71.235)	
0: TRAINING - Epoch: [0][70/781]	Time 0.007 (0.031)	Data 0.000 (0.021)	Loss 2.0616 (2.1036)	Prec@1 21.875 (20.687)	Prec@5 78.125 (72.359)	
0: TRAINING - Epoch: [0][80/781]	Time 0.008 (0.028)	Data 0.000 (0.018)	Loss 2.1662 (2.0880)	Prec@1 21.875 (21.258)	Prec@5 62.500 (73.110)	
0: TRAINING - Epoch: [0][90/781]	Time 0.006 (0.026)	Data 0.000 (0.016)	Loss 2.0401 (2.0675)	Prec@1 20.312 (21.635)	Prec@5 81.250 (74.348)	
0: TRAINING - Epoch: [0][100/781]	Time 0.006 (0.024)	Data 0.000 (0.015)	Loss 1.8960 (2.0514)	Prec@1 28.125 (22.277)	Prec@5 79.688 (75.278)	
0: TRAINING - Epoch: [0][110/781]	Time 0.006 (0.023)	Data 0.000 (0.013)	Loss 1.8893 (2.0349)	Prec@1 25.000 (22.494)	Prec@5 79.688 (75.901)	
0: TRAINING - Epoch: [0][120/781]	Time 0.006 (0.021)	Data 0.000 (0.012)	Loss 1.9478 (2.0239)	Prec@1 26.562 (22.934)	Prec@5 84.375 (76.498)	
0: TRAINING - Epoch: [0][130/781]	Time 0.013 (0.020)	Data 0.000 (0.011)	Loss 1.9178 (2.0072)	Prec@1 23.438 (23.390)	Prec@5 82.812 (77.230)	
0: TRAINING - Epoch: [0][140/781]	Time 0.007 (0.020)	Data 0.000 (0.010)	Loss 1.8778 (1.9963)	Prec@1 29.688 (23.737)	Prec@5 81.250 (77.715)	
0: TRAINING - Epoch: [0][150/781]	Time 0.006 (0.019)	Data 0.000 (0.010)	Loss 1.6303 (1.9873)	Prec@1 35.938 (24.027)	Prec@5 93.750 (78.115)	
0: TRAINING - Epoch: [0][160/781]	Time 0.006 (0.018)	Data 0.000 (0.009)	Loss 1.7227 (1.9792)	Prec@1 32.812 (24.214)	Prec@5 87.500 (78.484)	
0: TRAINING - Epoch: [0][170/781]	Time 0.007 (0.017)	Data 0.000 (0.009)	Loss 1.7459 (1.9731)	Prec@1 34.375 (24.351)	Prec@5 87.500 (78.893)	
0: TRAINING - Epoch: [0][180/781]	Time 0.006 (0.017)	Data 0.000 (0.008)	Loss 1.7659 (1.9657)	Prec@1 28.125 (24.422)	Prec@5 84.375 (79.170)	
0: TRAINING - Epoch: [0][190/781]	Time 0.013 (0.016)	Data 0.006 (0.008)	Loss 1.8315 (1.9569)	Prec@1 31.250 (24.689)	Prec@5 84.375 (79.622)	
0: TRAINING - Epoch: [0][200/781]	Time 0.006 (0.016)	Data 0.000 (0.007)	Loss 1.7484 (1.9488)	Prec@1 23.438 (24.946)	Prec@5 89.062 (79.936)	
0: TRAINING - Epoch: [0][210/781]	Time 0.009 (0.015)	Data 0.000 (0.007)	Loss 1.8534 (1.9407)	Prec@1 17.188 (25.156)	Prec@5 84.375 (80.347)	
0: TRAINING - Epoch: [0][220/781]	Time 0.007 (0.015)	Data 0.000 (0.007)	Loss 1.7392 (1.9326)	Prec@1 32.812 (25.354)	Prec@5 87.500 (80.684)	
0: TRAINING - Epoch: [0][230/781]	Time 0.006 (0.015)	Data 0.000 (0.006)	Loss 1.6758 (1.9239)	Prec@1 34.375 (25.602)	Prec@5 89.062 (81.020)	
0: TRAINING - Epoch: [0][240/781]	Time 0.008 (0.014)	Data 0.000 (0.006)	Loss 1.8009 (1.9176)	Prec@1 26.562 (25.823)	Prec@5 89.062 (81.256)	
0: TRAINING - Epoch: [0][250/781]	Time 0.009 (0.014)	Data 0.000 (0.006)	Loss 1.6501 (1.9098)	Prec@1 31.250 (26.015)	Prec@5 92.188 (81.474)	
0: TRAINING - Epoch: [0][260/781]	Time 0.006 (0.014)	Data 0.000 (0.006)	Loss 1.7010 (1.9038)	Prec@1 28.125 (26.191)	Prec@5 89.062 (81.765)	
0: TRAINING - Epoch: [0][270/781]	Time 0.006 (0.014)	Data 0.000 (0.006)	Loss 1.5178 (1.8983)	Prec@1 45.312 (26.499)	Prec@5 90.625 (81.959)	
0: TRAINING - Epoch: [0][280/781]	Time 0.006 (0.013)	Data 0.000 (0.005)	Loss 1.7791 (1.8939)	Prec@1 23.438 (26.657)	Prec@5 92.188 (82.218)	
0: TRAINING - Epoch: [0][290/781]	Time 0.007 (0.013)	Data 0.000 (0.005)	Loss 1.5424 (1.8878)	Prec@1 43.750 (26.917)	Prec@5 90.625 (82.399)	
0: TRAINING - Epoch: [0][300/781]	Time 0.007 (0.013)	Data 0.000 (0.005)	Loss 1.7253 (1.8819)	Prec@1 37.500 (27.087)	Prec@5 90.625 (82.620)	
0: TRAINING - Epoch: [0][310/781]	Time 0.012 (0.013)	Data 0.000 (0.005)	Loss 1.7391 (1.8754)	Prec@1 39.062 (27.251)	Prec@5 92.188 (82.873)	
